Time,Closing Price,RSI Value,Stochastic RSI,zVolume,Score
2026-02-02 19:45:01/02-02 12:45:01,78480.5,47.373984162381205,100.0,-0.7950129998351406,-2.077867322381531
2026-02-02 19:50:01/02-02 12:50:01,78410.0,45.068944955700545,73.58858098046301,-0.875951675577227,2.0698219686237955
2026-02-03 06:50:00/02-02 23:50:00,78496.7,54.760309991885514,100.0,-0.7197984570285217,-2.1298418672809283
2026-02-13 04:05:00/02-12 21:05:00,66440.1,47.3308894995193,0.0,-0.7858194456126649,0.0
2026-02-13 04:10:00/02-12 21:10:00,66440.0,47.32420507512187,0.0,-0.7947312700229121,0.0
2026-02-13 05:15:00/02-12 22:15:00,66200.0,38.338948636736674,0.0,-0.7150976255555974,0.0
2026-02-13 05:20:00/02-12 22:20:00,66271.9,43.31358307601681,24.236950244514308,-0.7618284300496746,0.0
2026-02-13 05:25:00/02-12 22:25:00,66266.8,43.04828623269925,45.52237769682391,-1.4310711724854457,0.0
2026-02-13 05:30:00/02-12 22:30:00,66248.3,42.042325707916454,35.79835302793682,-0.7125075326417415,0.0
